Enrollment
3/17/2022

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Pittsylvania County Public Schools",06,713
"2019 - 2020",DIV,"Pittsylvania County Public Schools",07,671
"2019 - 2020",DIV,"Pittsylvania County Public Schools",08,724
"2019 - 2020",DIV,"Pittsylvania County Public Schools",09,776
"2019 - 2020",DIV,"Pittsylvania County Public Schools",10,690
"2019 - 2020",DIV,"Pittsylvania County Public Schools",11,627
"2019 - 2020",DIV,"Pittsylvania County Public Schools",12,675
"2019 - 2020",DIV,"Poquoson City Public Schools",,2137
"2019 - 2020",DIV,"Poquoson City Public Schools",PK,22
"2019 - 2020",DIV,"Poquoson City Public Schools",KG,137
"2019 - 2020",DIV,"Poquoson City Public Schools",01,142
"2019 - 2020",DIV,"Poquoson City Public Schools",02,154
"2019 - 2020",DIV,"Poquoson City Public Schools",03,158
"2019 - 2020",DIV,"Poquoson City Public Schools",04,135
"2019 - 2020",DIV,"Poquoson City Public Schools",05,164
"2019 - 2020",DIV,"Poquoson City Public Schools",06,182
"2019 - 2020",DIV,"Poquoson City Public Schools",07,169
"2019 - 2020",DIV,"Poquoson City Public Schools",08,166
"2019 - 2020",DIV,"Poquoson City Public Schools",09,200
"2019 - 2020",DIV,"Poquoson City Public Schools",10,177
"2019 - 2020",DIV,"Poquoson City Public Schools",11,178
"2019 - 2020",DIV,"Poquoson City Public Schools",12,153
"2019 - 2020",DIV,"Portsmouth City Public Schools",,13991
"2019 - 2020",DIV,"Portsmouth City Public Schools",PK,582
"2019 - 2020",DIV,"Portsmouth City Public Schools",KG,1090
"2019 - 2020",DIV,"Portsmouth City Public Schools",01,1136
"2019 - 2020",DIV,"Portsmouth City Public Schools",02,1138
"2019 - 2020",DIV,"Portsmouth City Public Schools",03,1116
"2019 - 2020",DIV,"Portsmouth City Public Schools",04,1143
"2019 - 2020",DIV,"Portsmouth City Public Schools",05,1047
"2019 - 2020",DIV,"Portsmouth City Public Schools",06,1065
"2019 - 2020",DIV,"Portsmouth City Public Schools",07,986
"2019 - 2020",DIV,"Portsmouth City Public Schools",08,921
"2019 - 2020",DIV,"Portsmouth City Public Schools",09,1118
"2019 - 2020",DIV,"Portsmouth City Public Schools",10,903
"2019 - 2020",DIV,"Portsmouth City Public Schools",11,883
"2019 - 2020",DIV,"Portsmouth City Public Schools",12,863
"2019 - 2020",DIV,"Powhatan County Public Schools",,4356
"2019 - 2020",DIV,"Powhatan County Public Schools",PK,69
"2019 - 2020",DIV,"Powhatan County Public Schools",KG,307
"2019 - 2020",DIV,"Powhatan County Public Schools",01,282
"2019 - 2020",DIV,"Powhatan County Public Schools",02,285
"2019 - 2020",DIV,"Powhatan County Public Schools",03,333
"2019 - 2020",DIV,"Powhatan County Public Schools",04,316
"2019 - 2020",DIV,"Powhatan County Public Schools",05,305
"2019 - 2020",DIV,"Powhatan County Public Schools",06,336
"2019 - 2020",DIV,"Powhatan County Public Schools",07,330
"2019 - 2020",DIV,"Powhatan County Public Schools",08,372
"2019 - 2020",DIV,"Powhatan County Public Schools",09,384
"2019 - 2020",DIV,"Powhatan County Public Schools",10,361
"2019 - 2020",DIV,"Powhatan County Public Schools",11,335
"2019 - 2020",DIV,"Powhatan County Public Schools",12,341
"2019 - 2020",DIV,"Prince Edward County Public Schools",,2057
"2019 - 2020",DIV,"Prince Edward County Public Schools",PK,107
"2019 - 2020",DIV,"Prince Edward County Public Schools",KG,153
"2019 - 2020",DIV,"Prince Edward County Public Schools",01,127
"2019 - 2020",DIV,"Prince Edward County Public Schools",02,161
"2019 - 2020",DIV,"Prince Edward County Public Schools",03,138
"2019 - 2020",DIV,"Prince Edward County Public Schools",04,154
"2019 - 2020",DIV,"Prince Edward County Public Schools",05,154
"2019 - 2020",DIV,"Prince Edward County Public Schools",06,164
"2019 - 2020",DIV,"Prince Edward County Public Schools",07,148
"2019 - 2020",DIV,"Prince Edward County Public Schools",08,141
"2019 - 2020",DIV,"Prince Edward County Public Schools",09,179
"2019 - 2020",DIV,"Prince Edward County Public Schools",10,183
"2019 - 2020",DIV,"Prince Edward County Public Schools",11,125
"2019 - 2020",DIV,"Prince Edward County Public Schools",12,123
"2019 - 2020",DIV,"Prince George County Public Schools",,6353
"2019 - 2020",DIV,"Prince George County Public Schools",PK,125
"2019 - 2020",DIV,"Prince George County Public Schools",KG,485
"2019 - 2020",DIV,"Prince George County Public Schools",01,485
"2019 - 2020",DIV,"Prince George County Public Schools",02,487
"2019 - 2020",DIV,"Prince George County Public Schools",03,471
"2019 - 2020",DIV,"Prince George County Public Schools",04,470
"2019 - 2020",DIV,"Prince George County Public Schools",05,504
"2019 - 2020",DIV,"Prince George County Public Schools",06,512
"2019 - 2020",DIV,"Prince George County Public Schools",07,528
"2019 - 2020",DIV,"Prince George County Public Schools",08,501
"2019 - 2020",DIV,"Prince George County Public Schools",09,448
"2019 - 2020",DIV,"Prince George County Public Schools",10,482
"2019 - 2020",DIV,"Prince George County Public Schools",11,414
"2019 - 2020",DIV,"Prince George County Public Schools",12,441
"2019 - 2020",DIV,"Prince William County Public Schools",,92270
"2019 - 2020",DIV,"Prince William County Public Schools",PK,1637
"2019 - 2020",DIV,"Prince William County Public Schools",KG,6287
"2019 - 2020",DIV,"Prince William County Public Schools",01,6636
"2019 - 2020",DIV,"Prince William County Public Schools",02,6803
"2019 - 2020",DIV,"Prince William County Public Schools",03,6744
"2019 - 2020",DIV,"Prince William County Public Schools",04,6856
"2019 - 2020",DIV,"Prince William County Public Schools",05,7081
"2019 - 2020",DIV,"Prince William County Public Schools",06,6993
"2019 - 2020",DIV,"Prince William County Public Schools",07,7202
"2019 - 2020",DIV,"Prince William County Public Schools",08,7284
"2019 - 2020",DIV,"Prince William County Public Schools",09,7679
"2019 - 2020",DIV,"Prince William County Public Schools",10,7401
"2019 - 2020",DIV,"Prince William County Public Schools",11,6635
"2019 - 2020",DIV,"Prince William County Public Schools",12,7032
"2019 - 2020",DIV,"Pulaski County Public Schools",,4096
"2019 - 2020",DIV,"Pulaski County Public Schools",PK,158
"2019 - 2020",DIV,"Pulaski County Public Schools",KG,319
"2019 - 2020",DIV,"Pulaski County Public Schools",01,327
"2019 - 2020",DIV,"Pulaski County Public Schools",02,302
"2019 - 2020",DIV,"Pulaski County Public Schools",03,262
"2019 - 2020",DIV,"Pulaski County Public Schools",04,302
"2019 - 2020",DIV,"Pulaski County Public Schools",05,301
"2019 - 2020",DIV,"Pulaski County Public Schools",06,331
"2019 - 2020",DIV,"Pulaski County Public Schools",07,304
"2019 - 2020",DIV,"Pulaski County Public Schools",08,290
"2019 - 2020",DIV,"Pulaski County Public Schools",09,344
"2019 - 2020",DIV,"Pulaski County Public Schools",10,320
"2019 - 2020",DIV,"Pulaski County Public Schools",11,283
"2019 - 2020",DIV,"Pulaski County Public Schools",12,253
"2019 - 2020",DIV,"Radford City Public Schools",,1642
"2019 - 2020",DIV,"Radford City Public Schools",PK,45
"2019 - 2020",DIV,"Radford City Public Schools",KG,124
"2019 - 2020",DIV,"Radford City Public Schools",01,116
"2019 - 2020",DIV,"Radford City Public Schools",02,120
"2019 - 2020",DIV,"Radford City Public Schools",03,117
"2019 - 2020",DIV,"Radford City Public Schools",04,101
"2019 - 2020",DIV,"Radford City Public Schools",05,126
"2019 - 2020",DIV,"Radford City Public Schools",06,120
"2019 - 2020",DIV,"Radford City Public Schools",07,141
"2019 - 2020",DIV,"Radford City Public Schools",08,135
"2019 - 2020",DIV,"Radford City Public Schools",09,131
"2019 - 2020",DIV,"Radford City Public Schools",10,128
"2019 - 2020",DIV,"Radford City Public Schools",11,114
"2019 - 2020",DIV,"Radford City Public Schools",12,124
"2019 - 2020",DIV,"Rappahannock County Public Schools",,791
"2019 - 2020",DIV,"Rappahannock County Public Schools",PK,22
"2019 - 2020",DIV,"Rappahannock County Public Schools",KG,51
"2019 - 2020",DIV,"Rappahannock County Public Schools",01,51
"2019 - 2020",DIV,"Rappahannock County Public Schools",02,49
"2019 - 2020",DIV,"Rappahannock County Public Schools",03,62
"2019 - 2020",DIV,"Rappahannock County Public Schools",04,64
"2019 - 2020",DIV,"Rappahannock County Public Schools",05,55
"2019 - 2020",DIV,"Rappahannock County Public Schools",06,61
"2019 - 2020",DIV,"Rappahannock County Public Schools",07,65
"2019 - 2020",DIV,"Rappahannock County Public Schools",08,64
"2019 - 2020",DIV,"Rappahannock County Public Schools",09,51
"2019 - 2020",DIV,"Rappahannock County Public Schools",10,73
"2019 - 2020",DIV,"Rappahannock County Public Schools",11,58
"2019 - 2020",DIV,"Rappahannock County Public Schools",12,65
"2019 - 2020",DIV,"Richmond City Public Schools",,25212
"2019 - 2020",DIV,"Richmond City Public Schools",PK,1667
"2019 - 2020",DIV,"Richmond City Public Schools",KG,1897
"2019 - 2020",DIV,"Richmond City Public Schools",01,2052
"2019 - 2020",DIV,"Richmond City Public Schools",02,2083
"2019 - 2020",DIV,"Richmond City Public Schools",03,2069
"2019 - 2020",DIV,"Richmond City Public Schools",04,2035
"2019 - 2020",DIV,"Richmond City Public Schools",05,1949
"2019 - 2020",DIV,"Richmond City Public Schools",06,1900
"2019 - 2020",DIV,"Richmond City Public Schools",07,1959
"2019 - 2020",DIV,"Richmond City Public Schools",08,1722
"2019 - 2020",DIV,"Richmond City Public Schools",09,1861
"2019 - 2020",DIV,"Richmond City Public Schools",10,1566
"2019 - 2020",DIV,"Richmond City Public Schools",11,1312
"2019 - 2020",DIV,"Richmond City Public Schools",12,1140
"2019 - 2020",DIV,"Richmond County Public Schools",,1301
"2019 - 2020",DIV,"Richmond County Public Schools",PK,44
"2019 - 2020",DIV,"Richmond County Public Schools",KG,81
"2019 - 2020",DIV,"Richmond County Public Schools",01,90
"2019 - 2020",DIV,"Richmond County Public Schools",02,90
"2019 - 2020",DIV,"Richmond County Public Schools",03,104
"2019 - 2020",DIV,"Richmond County Public Schools",04,87
"2019 - 2020",DIV,"Richmond County Public Schools",05,97
"2019 - 2020",DIV,"Richmond County Public Schools",06,115
"2019 - 2020",DIV,"Richmond County Public Schools",07,108
"2019 - 2020",DIV,"Richmond County Public Schools",08,96
"2019 - 2020",DIV,"Richmond County Public Schools",09,96
"2019 - 2020",DIV,"Richmond County Public Schools",10,105
"2019 - 2020",DIV,"Richmond County Public Schools",11,89
"2019 - 2020",DIV,"Richmond County Public Schools",12,99
"2019 - 2020",DIV,"Roanoke City Public Schools",,14049
"2019 - 2020",DIV,"Roanoke City Public Schools",PK,565
"2019 - 2020",DIV,"Roanoke City Public Schools",KG,1146
"2019 - 2020",DIV,"Roanoke City Public Schools",01,1155
"2019 - 2020",DIV,"Roanoke City Public Schools",02,1128
"2019 - 2020",DIV,"Roanoke City Public Schools",03,1084
"2019 - 2020",DIV,"Roanoke City Public Schools",04,1064
"2019 - 2020",DIV,"Roanoke City Public Schools",05,1056
"2019 - 2020",DIV,"Roanoke City Public Schools",06,1129
"2019 - 2020",DIV,"Roanoke City Public Schools",07,1067
"2019 - 2020",DIV,"Roanoke City Public Schools",08,969
"2019 - 2020",DIV,"Roanoke City Public Schools",09,1090
"2019 - 2020",DIV,"Roanoke City Public Schools",10,962
"2019 - 2020",DIV,"Roanoke City Public Schools",11,853
"2019 - 2020",DIV,"Roanoke City Public Schools",12,781
"2019 - 2020",DIV,"Roanoke County Public Schools",,13999
"2019 - 2020",DIV,"Roanoke County Public Schools",PK,304
"2019 - 2020",DIV,"Roanoke County Public Schools",KG,906
"2019 - 2020",DIV,"Roanoke County Public Schools",01,1009
"2019 - 2020",DIV,"Roanoke County Public Schools",02,913
"2019 - 2020",DIV,"Roanoke County Public Schools",03,979
"2019 - 2020",DIV,"Roanoke County Public Schools",04,1044
"2019 - 2020",DIV,"Roanoke County Public Schools",05,1049
"2019 - 2020",DIV,"Roanoke County Public Schools",06,1116
"2019 - 2020",DIV,"Roanoke County Public Schools",07,1116
"2019 - 2020",DIV,"Roanoke County Public Schools",08,1137
"2019 - 2020",DIV,"Roanoke County Public Schools",09,1168
"2019 - 2020",DIV,"Roanoke County Public Schools",10,1090
"2019 - 2020",DIV,"Roanoke County Public Schools",11,1055
"2019 - 2020",DIV,"Roanoke County Public Schools",12,1113
"2019 - 2020",DIV,"Rockbridge County Public Schools",,2819
"2019 - 2020",DIV,"Rockbridge County Public Schools",PK,72
"2019 - 2020",DIV,"Rockbridge County Public Schools",KG,183
"2019 - 2020",DIV,"Rockbridge County Public Schools",01,192
"2019 - 2020",DIV,"Rockbridge County Public Schools",02,174
"2019 - 2020",DIV,"Rockbridge County Public Schools",03,165
"2019 - 2020",DIV,"Rockbridge County Public Schools",04,177
"2019 - 2020",DIV,"Rockbridge County Public Schools",05,191
"2019 - 2020",DIV,"Rockbridge County Public Schools",06,220
"2019 - 2020",DIV,"Rockbridge County Public Schools",07,234
"2019 - 2020",DIV,"Rockbridge County Public Schools",08,208
"2019 - 2020",DIV,"Rockbridge County Public Schools",09,278
"2019 - 2020",DIV,"Rockbridge County Public Schools",10,262
"2019 - 2020",DIV,"Rockbridge County Public Schools",11,256
"2019 - 2020",DIV,"Rockbridge County Public Schools",12,207
"2019 - 2020",DIV,"Rockingham County Public Schools",,11928
"2019 - 2020",DIV,"Rockingham County Public Schools",PK,417
"2019 - 2020",DIV,"Rockingham County Public Schools",KG,863
"2019 - 2020",DIV,"Rockingham County Public Schools",01,807
"2019 - 2020",DIV,"Rockingham County Public Schools",02,845
"2019 - 2020",DIV,"Rockingham County Public Schools",03,832
"2019 - 2020",DIV,"Rockingham County Public Schools",04,862
"2019 - 2020",DIV,"Rockingham County Public Schools",05,913
"2019 - 2020",DIV,"Rockingham County Public Schools",06,879
"2019 - 2020",DIV,"Rockingham County Public Schools",07,899
"2019 - 2020",DIV,"Rockingham County Public Schools",08,928
"2019 - 2020",DIV,"Rockingham County Public Schools",09,949
"2019 - 2020",DIV,"Rockingham County Public Schools",10,953
"2019 - 2020",DIV,"Rockingham County Public Schools",11,866
"2019 - 2020",DIV,"Rockingham County Public Schools",12,915
"2019 - 2020",DIV,"Russell County Public Schools",,3715
"2019 - 2020",DIV,"Russell County Public Schools",PK,183
"2019 - 2020",DIV,"Russell County Public Schools",KG,301
"2019 - 2020",DIV,"Russell County Public Schools",01,248
"2019 - 2020",DIV,"Russell County Public Schools",02,253
"2019 - 2020",DIV,"Russell County Public Schools",03,242
"2019 - 2020",DIV,"Russell County Public Schools",04,246
"2019 - 2020",DIV,"Russell County Public Schools",05,264
"2019 - 2020",DIV,"Russell County Public Schools",06,294
"2019 - 2020",DIV,"Russell County Public Schools",07,272
"2019 - 2020",DIV,"Russell County Public Schools",08,281
"2019 - 2020",DIV,"Russell County Public Schools",09,322
"2019 - 2020",DIV,"Russell County Public Schools",10,249
"2019 - 2020",DIV,"Russell County Public Schools",11,274
"2019 - 2020",DIV,"Russell County Public Schools",12,286
"2019 - 2020",DIV,"Salem City Public Schools",,3931
"2019 - 2020",DIV,"Salem City Public Schools",PG,5
"2019 - 2020",DIV,"Salem City Public Schools",PK,78
"2019 - 2020",DIV,"Salem City Public Schools",KG,258
"2019 - 2020",DIV,"Salem City Public Schools",01,272
"2019 - 2020",DIV,"Salem City Public Schools",02,285
"2019 - 2020",DIV,"Salem City Public Schools",03,279
"2019 - 2020",DIV,"Salem City Public Schools",04,264
"2019 - 2020",DIV,"Salem City Public Schools",05,321
"2019 - 2020",DIV,"Salem City Public Schools",06,289
"2019 - 2020",DIV,"Salem City Public Schools",07,316
"2019 - 2020",DIV,"Salem City Public Schools",08,311
"2019 - 2020",DIV,"Salem City Public Schools",09,338
"2019 - 2020",DIV,"Salem City Public Schools",10,328
"2019 - 2020",DIV,"Salem City Public Schools",11,309
"2019 - 2020",DIV,"Salem City Public Schools",12,278
"2019 - 2020",DIV,"Scott County Public Schools",,3512
"2019 - 2020",DIV,"Scott County Public Schools",PK,113
"2019 - 2020",DIV,"Scott County Public Schools",KG,266
"2019 - 2020",DIV,"Scott County Public Schools",01,262
"2019 - 2020",DIV,"Scott County Public Schools",02,264
"2019 - 2020",DIV,"Scott County Public Schools",03,247
"2019 - 2020",DIV,"Scott County Public Schools",04,282
"2019 - 2020",DIV,"Scott County Public Schools",05,276
"2019 - 2020",DIV,"Scott County Public Schools",06,254
"2019 - 2020",DIV,"Scott County Public Schools",07,259
"2019 - 2020",DIV,"Scott County Public Schools",08,292
"2019 - 2020",DIV,"Scott County Public Schools",09,260
"2019 - 2020",DIV,"Scott County Public Schools",10,260
"2019 - 2020",DIV,"Scott County Public Schools",11,242
"2019 - 2020",DIV,"Scott County Public Schools",12,235
"2019 - 2020",DIV,"Shenandoah County Public Schools",,6006
"2019 - 2020",DIV,"Shenandoah County Public Schools",PG,3
"2019 - 2020",DIV,"Shenandoah County Public Schools",PK,145
"2019 - 2020",DIV,"Shenandoah County Public Schools",KG,396
"2019 - 2020",DIV,"Shenandoah County Public Schools",01,429
"2019 - 2020",DIV,"Shenandoah County Public Schools",02,455
"2019 - 2020",DIV,"Shenandoah County Public Schools",03,426
"2019 - 2020",DIV,"Shenandoah County Public Schools",04,430
"2019 - 2020",DIV,"Shenandoah County Public Schools",05,433
"2019 - 2020",DIV,"Shenandoah County Public Schools",06,493
"2019 - 2020",DIV,"Shenandoah County Public Schools",07,469
"2019 - 2020",DIV,"Shenandoah County Public Schools",08,465
"2019 - 2020",DIV,"Shenandoah County Public Schools",09,455
"2019 - 2020",DIV,"Shenandoah County Public Schools",10,471
"2019 - 2020",DIV,"Shenandoah County Public Schools",11,469
"2019 - 2020",DIV,"Shenandoah County Public Schools",12,467
"2019 - 2020",DIV,"Smyth County Public Schools",,4269
"2019 - 2020",DIV,"Smyth County Public Schools",PK,147
"2019 - 2020",DIV,"Smyth County Public Schools",KG,290
"2019 - 2020",DIV,"Smyth County Public Schools",01,306
"2019 - 2020",DIV,"Smyth County Public Schools",02,293
"2019 - 2020",DIV,"Smyth County Public Schools",03,313
"2019 - 2020",DIV,"Smyth County Public Schools",04,292
"2019 - 2020",DIV,"Smyth County Public Schools",05,302
